Origin_name,Origin_code,Gender_Code,Destination_name,Destination_code,1980
Albania,ALB,MAL,Brazil,BRA,0
Albania,ALB,MAL,Brunei Darussalam,BRN,0
Albania,ALB,MAL,Bulgaria,BGR,50
Albania,ALB,MAL,Burkina Faso,BFA,0
Albania,ALB,MAL,Burundi,BDI,0
Albania,ALB,MAL,Cambodia,KHM,0
Albania,ALB,MAL,Cameroon,CMR,4
Albania,ALB,MAL,Canada,CAN,1401
Albania,ALB,MAL,Cape Verde,CPV,5
Albania,ALB,MAL,Cayman Islands,CYM,0
Albania,ALB,MAL,Central African Republic,CAF,7
Albania,ALB,MAL,Chad,TCD,0
Albania,ALB,MAL,Channel Islands,CHI,..
Albania,ALB,MAL,Chile,CHL,0
Albania,ALB,MAL,China,CHN,0
Albania,ALB,MAL,Colombia,COL,0
Albania,ALB,MAL,Comoros,COM,0
Albania,ALB,MAL,"Congo, Dem. Rep.",COD,207
Albania,ALB,MAL,"Congo, Rep.",COG,8
Albania,ALB,MAL,Cook Islands,COK,0
Albania,ALB,MAL,Costa Rica,CRI,0
Albania,ALB,MAL,Cote d'Ivoire,CIV,29
Albania,ALB,MAL,Croatia,HRV,954
Albania,ALB,MAL,Cuba,CUB,15
Albania,ALB,MAL,Cyprus,CYP,0
Albania,ALB,MAL,Czech Republic,CZE,6
Albania,ALB,MAL,Denmark,DNK,4
Albania,ALB,MAL,Djibouti,DJI,0
Albania,ALB,MAL,Dominica,DMA,0
Albania,ALB,MAL,Dominican Republic,DOM,6
Albania,ALB,MAL,Ecuador,ECU,0
Albania,ALB,MAL,"Egypt, Arab Rep.",EGY,73
Albania,ALB,MAL,El Salvador,SLV,0
Albania,ALB,MAL,Equatorial Guinea,GNQ,0
Albania,ALB,MAL,Eritrea,ERI,2
Albania,ALB,MAL,Estonia,EST,0
Albania,ALB,MAL,Ethiopia,ETH,7
Albania,ALB,MAL,Faeroe Islands,FRO,0
Albania,ALB,MAL,Falkland Islands (Malvinas),FLK,0
Albania,ALB,MAL,Fiji,FJI,0
Albania,ALB,MAL,Finland,FIN,45
Albania,ALB,MAL,France,FRA,4
Albania,ALB,MAL,French Guiana,GUF,0
Albania,ALB,MAL,French Polynesia,PYF,0
Albania,ALB,MAL,Gabon,GAB,4
Albania,ALB,MAL,"Gambia, The",GMB,3
Albania,ALB,MAL,Georgia,GEO,0
Albania,ALB,MAL,Germany,DEU,1244
Albania,ALB,MAL,Ghana,GHA,2
Albania,ALB,MAL,Gibraltar,GIB,0
Albania,ALB,MAL,Greece,GRC,3012
Albania,ALB,MAL,Greenland,GRL,0
Albania,ALB,MAL,Grenada,GRD,0
Albania,ALB,MAL,Guadeloupe,GLP,1
Albania,ALB,MAL,Guam,GUM,0
Albania,ALB,MAL,Guatemala,GTM,3
Albania,ALB,MAL,Guinea,GIN,17
Albania,ALB,MAL,Guinea-Bissau,GNB,0
Albania,ALB,MAL,Guyana,GUY,0
Albania,ALB,MAL,Haiti,HTI,0
Albania,ALB,MAL,Honduras,HND,0
Albania,ALB,MAL,"Hong Kong SAR, China",HKG,0
Albania,ALB,MAL,Hungary,HUN,214
Albania,ALB,MAL,Iceland,ISL,3
Albania,ALB,MAL,India,IND,5
Albania,ALB,MAL,Indonesia,IDN,16
Albania,ALB,MAL,"Iran, Islamic Rep.",IRN,1
Albania,ALB,MAL,Iraq,IRQ,2
Albania,ALB,MAL,Ireland,IRL,9
Albania,ALB,MAL,Isle of Man,IMN,..
Albania,ALB,MAL,Israel,ISR,19
Albania,ALB,MAL,Italy,ITA,4660
Albania,ALB,MAL,Jamaica,JAM,0
Albania,ALB,MAL,Japan,JPN,0
Albania,ALB,MAL,Jordan,JOR,22
Albania,ALB,MAL,Kazakhstan,KAZ,0
Albania,ALB,MAL,Kenya,KEN,2
Albania,ALB,MAL,Kiribati,KIR,0
Albania,ALB,MAL,"Korea, Dem. Rep.",PRK,0
Albania,ALB,MAL,"Korea, Rep.",KOR,1
Albania,ALB,MAL,Kosovo,XKX,..
Albania,ALB,MAL,Kuwait,KWT,0
Albania,ALB,MAL,Kyrgyz Republic,KGZ,0
Albania,ALB,MAL,Lao PDR,LAO,0
Albania,ALB,MAL,Latvia,LVA,0
Albania,ALB,MAL,Lebanon,LBN,0
Albania,ALB,MAL,Lesotho,LSO,0
Albania,ALB,MAL,Liberia,LBR,0
Albania,ALB,MAL,Libya,LBY,0
Albania,ALB,MAL,Liechtenstein,LIE,4
Albania,ALB,MAL,Lithuania,LTU,0
Albania,ALB,MAL,Luxembourg,LUX,22
Albania,ALB,MAL,"Macao SAR, China",MAC,0
Albania,ALB,MAL,"Macedonia, FYR",MKD,180
Albania,ALB,MAL,Madagascar,MDG,7
Albania,ALB,MAL,Malawi,MWI,0
Albania,ALB,MAL,Malaysia,MYS,2
Albania,ALB,MAL,Maldives,MDV,0
Albania,ALB,MAL,Mali,MLI,0
Albania,ALB,MAL,Malta,MLT,0
Albania,ALB,MAL,Marshall Islands,MHL,0
Albania,ALB,MAL,Martinique,MTQ,0
Albania,ALB,MAL,Mauritania,MRT,0
Albania,ALB,MAL,Mauritius,MUS,0
Albania,ALB,MAL,Mayotte,MYT,0
Albania,ALB,MAL,Mexico,MEX,2
Albania,ALB,MAL,"Micronesia, Fed. Sts.",FSM,0
Albania,ALB,MAL,Moldova,MDA,0
Albania,ALB,MAL,Monaco,MCO,30
Albania,ALB,MAL,Mongolia,MNG,0
Albania,ALB,MAL,Montenegro,MNE,..
Albania,ALB,MAL,Montserrat,MSR,0
Albania,ALB,MAL,Morocco,MAR,0
